Current CPU threads: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

Sleeping for 5 seconds before running pidstat...

>>> [2/2] Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.19-amd64 (pavlik) 	05/01/2025 	_x86_64_	(32 CPU)

10:09:08 PM   UID      TGID       TID   cswch/s nvcswch/s  Command
10:09:09 PM  1000         -     34550      1.63      0.00  |__Timer
10:09:09 PM  1000     34587         -      1.63      0.00  Isolated Web Co
10:09:09 PM  1000         -     34587      1.63      0.00  |__Isolated Web Co
10:09:09 PM  1000         -     34600      0.81      0.00  |__JS Watchdog
10:09:09 PM  1000         -     34602      2.44      0.00  |__Timer
10:09:09 PM  1000     35707         -     91.87    168.29  gnome-system-mo
10:09:09 PM  1000         -     35707     91.87    168.29  |__gnome-system-mo
10:09:09 PM  1000         -     35711      0.81      0.00  |__gmain
10:09:09 PM  1000         -     35724    109.76     11.38  |__gnome-syst:cs0
10:09:09 PM  1000         -     35735     60.16      3.25  |__gnome-sy:gdrv0
10:09:09 PM     0     36667         -      1.63      0.00  kworker/28:0-events
10:09:09 PM     0         -     36667      1.63      0.00  |__kworker/28:0-events
10:09:09 PM  1000     39139         -      0.81      0.00  Isolated Web Co
10:09:09 PM  1000         -     39139      0.81      0.00  |__Isolated Web Co
10:09:09 PM  1000         -     39152      0.81      0.00  |__JS Watchdog
10:09:09 PM  1000         -     39154      1.63      0.00  |__Timer
10:09:09 PM     0     59524         -      0.81      0.00  kworker/24:0-events
10:09:09 PM     0         -     59524      0.81      0.00  |__kworker/24:0-events
10:09:09 PM     0     60291         -      1.63      0.00  kworker/21:0-events
10:09:09 PM     0         -     60291      1.63      0.00  |__kworker/21:0-events
10:09:09 PM  1000     62417         -     10.57      2.44  code
10:09:09 PM  1000         -     62417     10.57      2.44  |__code
10:09:09 PM  1000         -     62441     17.07      0.00  |__code
10:09:09 PM  1000     62458         -      0.81      0.00  code
10:09:09 PM  1000         -     62458      0.81      0.00  |__code
10:09:09 PM     0     65308         -      1.63      0.00  kworker/25:2-events
10:09:09 PM     0         -     65308      1.63      0.00  |__kworker/25:2-events
10:09:09 PM     0     66748         -      1.63      0.00  kworker/4:0-events
10:09:09 PM     0         -     66748      1.63      0.00  |__kworker/4:0-events
10:09:09 PM     0     69413         -      0.81      0.00  kworker/20:0-mm_percpu_wq
10:09:09 PM     0         -     69413      0.81      0.00  |__kworker/20:0-mm_percpu_wq
10:09:09 PM     0     70211         -      0.81      0.00  kworker/8:1-mm_percpu_wq
10:09:09 PM     0         -     70211      0.81      0.00  |__kworker/8:1-mm_percpu_wq
10:09:09 PM  1000     72299         -      1.63      0.00  Isolated Web Co
10:09:09 PM  1000         -     72299      1.63      0.00  |__Isolated Web Co
10:09:09 PM  1000         -     72328      0.81      0.00  |__JS Watchdog
10:09:09 PM  1000         -     72330      2.44      0.00  |__Timer
10:09:09 PM  1000     75127     75141      0.81      0.00  (Isolated Web Co)__JS Watchdog
10:09:09 PM  1000         -     75143      0.81      0.00  |__Timer
10:09:09 PM     0     76314         -      3.25      0.00  kworker/0:1-events
10:09:09 PM     0         -     76314      3.25      0.00  |__kworker/0:1-events
10:09:09 PM  1000     77617     77631      0.81      0.00  (Isolated Web Co)__JS Watchdog
10:09:09 PM  1000         -     77633      0.81      0.00  |__Timer
10:09:09 PM  1000     78388         -     17.89      0.00  Isolated Servic
10:09:09 PM  1000         -     78388     17.89      0.00  |__Isolated Servic
10:09:09 PM  1000         -     78393      0.81      0.00  |__IPC I/O Child
10:09:09 PM  1000         -     78403      3.25      0.00  |__Timer
10:09:09 PM  1000         -     79263     17.07      0.00  |__DOM Worker
10:09:09 PM  1000         -     79363     12.20      0.00  |__TaskCon~ller #0
10:09:09 PM  1000         -     79364     11.38      0.00  |__TaskCon~ller #1
10:09:09 PM  1000         -     79365     11.38      0.00  |__TaskCon~ller #2
