1747349641 LOGGER STARTED
Sample #52, Timestamp: 1747349686, CPU_Temperature: 63°C, cpu0: 3642673kHz, cpu1: 3642669kHz, cpu10: 3642677kHz, cpu11: 3642667kHz, cpu2: 3642655kHz, cpu3: 3642622kHz, cpu4: 3642360kHz, cpu5: 3642679kHz, cpu6: 3642661kHz, cpu7: 3642663kHz, cpu8: 3642666kHz, cpu9: 3642657kHz, 
Sample #53, Timestamp: 1747349687, CPU_Temperature: 63°C, cpu0: 3642667kHz, cpu1: 3642669kHz, cpu10: 3642658kHz, cpu11: 3642676kHz, cpu2: 3642662kHz, cpu3: 3641958kHz, cpu4: 3642425kHz, cpu5: 3642680kHz, cpu6: 3642662kHz, cpu7: 3642670kHz, cpu8: 3642672kHz, cpu9: 3642581kHz, 
Sample #54, Timestamp: 1747349688, CPU_Temperature: 63°C, cpu0: 3642661kHz, cpu1: 3642679kHz, cpu10: 3642667kHz, cpu11: 3642382kHz, cpu2: 3642667kHz, cpu3: 3642619kHz, cpu4: 3642051kHz, cpu5: 3642660kHz, cpu6: 3642664kHz, cpu7: 3642661kHz, cpu8: 3642672kHz, cpu9: 3642451kHz, 
Sample #55, Timestamp: 1747349688, CPU_Temperature: 63°C, cpu0: 3642667kHz, cpu1: 3642678kHz, cpu10: 3642664kHz, cpu11: 3642660kHz, cpu2: 3642667kHz, cpu3: 3642322kHz, cpu4: 3641890kHz, cpu5: 3642674kHz, cpu6: 3642664kHz, cpu7: 3642665kHz, cpu8: 3642670kHz, cpu9: 3642433kHz, 
Sample #56, Timestamp: 1747349689, CPU_Temperature: 63°C, cpu0: 3642663kHz, cpu1: 3642670kHz, cpu10: 3642663kHz, cpu11: 3642666kHz, cpu2: 3642616kHz, cpu3: 3642263kHz, cpu4: 3642664kHz, cpu5: 3642674kHz, cpu6: 3642665kHz, cpu7: 3642721kHz, cpu8: 3642664kHz, cpu9: 3642158kHz, 
Sample #57, Timestamp: 1747349689, CPU_Temperature: 63°C, cpu0: 3642665kHz, cpu1: 3642664kHz, cpu10: 3642668kHz, cpu11: 3642663kHz, cpu2: 3642667kHz, cpu3: 3641267kHz, cpu4: 3642067kHz, cpu5: 3642673kHz, cpu6: 3642674kHz, cpu7: 3642660kHz, cpu8: 3642669kHz, cpu9: 3642557kHz, 
Sample #58, Timestamp: 1747349690, CPU_Temperature: 63°C, cpu0: 3642666kHz, cpu1: 3642671kHz, cpu10: 3641379kHz, cpu11: 3642663kHz, cpu2: 3642665kHz, cpu3: 3642662kHz, cpu4: 3642323kHz, cpu5: 3642659kHz, cpu6: 3642662kHz, cpu7: 3642661kHz, cpu8: 3642668kHz, cpu9: 3642665kHz, 
Sample #59, Timestamp: 1747349691, CPU_Temperature: 63°C, cpu0: 3642665kHz, cpu1: 3642666kHz, cpu10: 3642364kHz, cpu11: 3642665kHz, cpu2: 3642654kHz, cpu3: 3642425kHz, cpu4: 3642070kHz, cpu5: 3642666kHz, cpu6: 3642663kHz, cpu7: 3642683kHz, cpu8: 3642679kHz, cpu9: 3642216kHz, 
Sample #60, Timestamp: 1747349691, CPU_Temperature: 63°C, cpu0: 3642667kHz, cpu1: 3642667kHz, cpu10: 3642308kHz, cpu11: 3642658kHz, cpu2: 3642667kHz, cpu3: 3642461kHz, cpu4: 3642594kHz, cpu5: 3642669kHz, cpu6: 3642668kHz, cpu7: 3642670kHz, cpu8: 3642676kHz, cpu9: 3642669kHz, 
Sample #61, Timestamp: 1747349692, CPU_Temperature: 63°C, cpu0: 3642662kHz, cpu1: 3642666kHz, cpu10: 3642039kHz, cpu11: 3642677kHz, cpu2: 3642673kHz, cpu3: 3642235kHz, cpu4: 3642649kHz, cpu5: 3642681kHz, cpu6: 3642667kHz, cpu7: 3642671kHz, cpu8: 3642670kHz, cpu9: 3642666kHz, 
Sample #62, Timestamp: 1747349693, CPU_Temperature: 63°C, cpu0: 3642672kHz, cpu1: 3642668kHz, cpu10: 3642661kHz, cpu11: 3642660kHz, cpu2: 3642663kHz, cpu3: 3642668kHz, cpu4: 3642637kHz, cpu5: 3642668kHz, cpu6: 3642665kHz, cpu7: 3642675kHz, cpu8: 3642669kHz, cpu9: 3642665kHz, 
