Scehdulre Latency test
Current CPU threads:  12
Starting hackbench..
cyclictest latency measurement:
# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 138.09 205.17 96.78 610/1223 4964          

T:11 ( 4964) P:80 I:200 C:    866 Min:   4546 Act:    5111 Avg:    5754 Max:   14626
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 935/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1979 Min:   4631 Act:    8345 Avg:    6399 Max:  123341
T: 1 ( 4954) P:80 I:200 C:   1668 Min:   4462 Act:    5360 Avg:    6050 Max:   78867
T: 2 ( 4955) P:80 I:200 C:   1640 Min:   4096 Act:    5288 Avg:    5538 Max:   12244
T: 3 ( 4956) P:80 I:200 C:   1155 Min:   3965 Act:    4649 Avg:    5446 Max:   14717
T: 4 ( 4957) P:80 I:200 C:   1180 Min:   4767 Act:    6118 Avg:    6316 Max:   32024
T: 5 ( 4958) P:80 I:200 C:   1502 Min:   5002 Act:    6243 Avg:    6953 Max:   72307
T: 6 ( 4959) P:80 I:200 C:   1516 Min:   4675 Act:    5843 Avg:    6388 Max:   20000
T: 7 ( 4960) P:80 I:200 C:   1496 Min:   5001 Act:    5582 Avg:    6613 Max:   36576
T: 8 ( 4961) P:80 I:200 C:   1521 Min:   4874 Act:    6870 Avg:    6289 Max:   12754
T: 9 ( 4962) P:80 I:200 C:   1487 Min:   4709 Act:    5958 Avg:    6286 Max:   62319
T:10 ( 4963) P:80 I:200 C:   1519 Min:   4918 Act:    5678 Avg:    6577 Max:   47985
T:11 ( 4964) P:80 I:200 C:    958 Min:   4546 Act:    4865 Avg:    5754 Max:   14626
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 952/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   2041 Min:   4631 Act:    6084 Avg:    6392 Max:  123341
T: 1 ( 4954) P:80 I:200 C:   1730 Min:   4462 Act:    7277 Avg:    6053 Max:   78867
T: 2 ( 4955) P:80 I:200 C:   1702 Min:   4096 Act:    4470 Avg:    5529 Max:   12244
