1747351583 LOGGER STARTED
Sample #36, Timestamp: 1747351602, CPU_Temperature: 63°C, cpu0: 900000kHz, cpu1: 900000kHz, cpu10: 800004kHz, cpu11: 799995kHz, cpu12: 800005kHz, cpu13: 800002kHz, cpu14: 799998kHz, cpu15: 800000kHz, cpu2: 899993kHz, cpu3: 899997kHz, cpu4: 900002kHz, cpu5: 900004kHz, cpu6: 900000kHz, cpu7: 900000kHz, cpu8: 800003kHz, cpu9: 799997kHz, 
Sample #37, Timestamp: 1747351603, CPU_Temperature: 58°C, cpu0: 900000kHz, cpu1: 900004kHz, cpu10: 799995kHz, cpu11: 799997kHz, cpu12: 799994kHz, cpu13: 799995kHz, cpu14: 799999kHz, cpu15: 799997kHz, cpu2: 900002kHz, cpu3: 900004kHz, cpu4: 858558kHz, cpu5: 899995kHz, cpu6: 899997kHz, cpu7: 899997kHz, cpu8: 799998kHz, cpu9: 799989kHz, 
Sample #38, Timestamp: 1747351603, CPU_Temperature: 58°C, cpu0: 829154kHz, cpu1: 859559kHz, cpu10: 800002kHz, cpu11: 800000kHz, cpu12: 799984kHz, cpu13: 799996kHz, cpu14: 748833kHz, cpu15: 799993kHz, cpu2: 1000000kHz, cpu3: 1100000kHz, cpu4: 1139841kHz, cpu5: 1200000kHz, cpu6: 1199993kHz, cpu7: 1300006kHz, cpu8: 1100008kHz, cpu9: 1099997kHz, 
Sample #39, Timestamp: 1747351604, CPU_Temperature: 61°C, cpu0: 1700000kHz, cpu1: 1699995kHz, cpu10: 1499999kHz, cpu11: 1500003kHz, cpu12: 1500004kHz, cpu13: 1499994kHz, cpu14: 1499991kHz, cpu15: 1499999kHz, cpu2: 1799995kHz, cpu3: 1799995kHz, cpu4: 1800000kHz, cpu5: 1799995kHz, cpu6: 1800000kHz, cpu7: 1799990kHz, cpu8: 1500011kHz, cpu9: 1499991kHz, 
Sample #40, Timestamp: 1747351604, CPU_Temperature: 61°C, cpu0: 1843342kHz, cpu1: 1820751kHz, cpu10: 1499999kHz, cpu11: 1500001kHz, cpu12: 1500008kHz, cpu13: 1500001kHz, cpu14: 1500001kHz, cpu15: 1499999kHz, cpu2: 1799995kHz, cpu3: 1874570kHz, cpu4: 1869761kHz, cpu5: 1855406kHz, cpu6: 1838979kHz, cpu7: 1845798kHz, cpu8: 1500008kHz, cpu9: 1499993kHz, 
Sample #41, Timestamp: 1747351605, CPU_Temperature: 61°C, cpu0: 1854769kHz, cpu1: 1818988kHz, cpu10: 1500001kHz, cpu11: 1499980kHz, cpu12: 1499985kHz, cpu13: 1499996kHz, cpu14: 1500001kHz, cpu15: 1499994kHz, cpu2: 1820000kHz, cpu3: 1880844kHz, cpu4: 1879635kHz, cpu5: 1859111kHz, cpu6: 1895624kHz, cpu7: 1890632kHz, cpu8: 1500001kHz, cpu9: 1499996kHz, 
Sample #42, Timestamp: 1747351605, CPU_Temperature: 63°C, cpu0: 1839534kHz, cpu1: 1815951kHz, cpu10: 1499995kHz, cpu11: 1500002kHz, cpu12: 1499998kHz, cpu13: 1500012kHz, cpu14: 1500001kHz, cpu15: 1499990kHz, cpu2: 1817805kHz, cpu3: 1833727kHz, cpu4: 1840222kHz, cpu5: 1824330kHz, cpu6: 1864651kHz, cpu7: 1893102kHz, cpu8: 1500015kHz, cpu9: 1500006kHz, 
Sample #43, Timestamp: 1747351606, CPU_Temperature: 63°C, cpu0: 1340668kHz, cpu1: 1300000kHz, cpu10: 1099996kHz, cpu11: 999989kHz, cpu12: 1000001kHz, cpu13: 999996kHz, cpu14: 1000003kHz, cpu15: 999996kHz, cpu2: 1100002kHz, cpu3: 1091335kHz, cpu4: 1000002kHz, cpu5: 1000002kHz, cpu6: 1000002kHz, cpu7: 1000002kHz, cpu8: 800004kHz, cpu9: 800002kHz, 
Sample #44, Timestamp: 1747351606, CPU_Temperature: 58°C, cpu0: 900002kHz, cpu1: 900009kHz, cpu10: 800003kHz, cpu11: 799997kHz, cpu12: 800006kHz, cpu13: 800002kHz, cpu14: 799996kHz, cpu15: 800001kHz, cpu2: 899997kHz, cpu3: 900000kHz, cpu4: 900002kHz, cpu5: 900004kHz, cpu6: 900002kHz, cpu7: 899997kHz, cpu8: 799992kHz, cpu9: 799998kHz, 
Sample #45, Timestamp: 1747351607, CPU_Temperature: 58°C, cpu0: 900004kHz, cpu1: 900006kHz, cpu10: 800001kHz, cpu11: 800003kHz, cpu12: 799997kHz, cpu13: 799996kHz, cpu14: 800000kHz, cpu15: 800001kHz, cpu2: 900000kHz, cpu3: 900002kHz, cpu4: 900000kHz, cpu5: 900000kHz, cpu6: 900000kHz, cpu7: 899997kHz, cpu8: 800000kHz, cpu9: 799990kHz, 
Sample #46, Timestamp: 1747351608, CPU_Temperature: 57°C, cpu0: 899204kHz, cpu1: 900004kHz, cpu10: 900000kHz, cpu11: 899997kHz, cpu12: 1000006kHz, cpu13: 1199997kHz, cpu14: 1199995kHz, cpu15: 1200003kHz, cpu2: 1500007kHz, cpu3: 1499992kHz, cpu4: 1499996kHz, cpu5: 1599991kHz, cpu6: 1599995kHz, cpu7: 1700000kHz, cpu8: 1400005kHz, cpu9: 1399992kHz, 
Sample #47, Timestamp: 1747351608, CPU_Temperature: 57°C, cpu0: 1800009kHz, cpu1: 1800000kHz, cpu10: 1499993kHz, cpu11: 1499997kHz, cpu12: 1500008kHz, cpu13: 1500007kHz, cpu14: 1568481kHz, cpu15: 1500002kHz, cpu2: 1835475kHz, cpu3: 1882904kHz, cpu4: 1806491kHz, cpu5: 1867375kHz, cpu6: 1841344kHz, cpu7: 1819278kHz, cpu8: 1500012kHz, cpu9: 1500004kHz, 
Sample #48, Timestamp: 1747351609, CPU_Temperature: 57°C, cpu0: 1842353kHz, cpu1: 1900000kHz, cpu10: 1499993kHz, cpu11: 1499994kHz, cpu12: 1499998kHz, cpu13: 1499999kHz, cpu14: 1499995kHz, cpu15: 1499990kHz, cpu2: 1900000kHz, cpu3: 1884786kHz, cpu4: 1895425kHz, cpu5: 1800000kHz, cpu6: 1799995kHz, cpu7: 1849351kHz, cpu8: 1500006kHz, cpu9: 1499993kHz, 
Sample #49, Timestamp: 1747351609, CPU_Temperature: 62°C, cpu0: 1818017kHz, cpu1: 1839786kHz, cpu10: 1500003kHz, cpu11: 1499994kHz, cpu12: 1500009kHz, cpu13: 1499994kHz, cpu14: 1500004kHz, cpu15: 1500006kHz, cpu2: 1830728kHz, cpu3: 1867267kHz, cpu4: 1818884kHz, cpu5: 1863891kHz, cpu6: 1868099kHz, cpu7: 1800000kHz, cpu8: 1499995kHz, cpu9: 1500009kHz, 
Sample #50, Timestamp: 1747351609, CPU_Temperature: 62°C, cpu0: 1839238kHz, cpu1: 1879908kHz, cpu10: 1500003kHz, cpu11: 1499994kHz, cpu12: 1499997kHz, cpu13: 1500002kHz, cpu14: 1499993kHz, cpu15: 1500011kHz, cpu2: 1818982kHz, cpu3: 1831090kHz, cpu4: 1867730kHz, cpu5: 1857102kHz, cpu6: 1839163kHz, cpu7: 1881380kHz, cpu8: 1500002kHz, cpu9: 1499999kHz, 
Sample #51, Timestamp: 1747351610, CPU_Temperature: 62°C, cpu0: 1700000kHz, cpu1: 1699995kHz, cpu10: 1399990kHz, cpu11: 1399991kHz, cpu12: 1400002kHz, cpu13: 1400004kHz, cpu14: 1399998kHz, cpu15: 1400012kHz, cpu2: 1600000kHz, cpu3: 1534445kHz, cpu4: 1499996kHz, cpu5: 1500000kHz, cpu6: 1499996kHz, cpu7: 1500000kHz, cpu8: 1100001kHz, cpu9: 1000005kHz, 
Sample #52, Timestamp: 1747351610, CPU_Temperature: 58°C, cpu0: 1000007kHz, cpu1: 1000000kHz, cpu10: 900001kHz, cpu11: 899999kHz, cpu12: 800001kHz, cpu13: 799996kHz, cpu14: 800003kHz, cpu15: 799999kHz, cpu2: 900002kHz, cpu3: 900000kHz, cpu4: 899993kHz, cpu5: 900004kHz, cpu6: 900000kHz, cpu7: 900002kHz, cpu8: 800007kHz, cpu9: 800004kHz, 
Sample #53, Timestamp: 1747351611, CPU_Temperature: 58°C, cpu0: 900002kHz, cpu1: 900004kHz, cpu10: 799992kHz, cpu11: 800003kHz, cpu12: 799998kHz, cpu13: 799995kHz, cpu14: 799996kHz, cpu15: 800002kHz, cpu2: 900004kHz, cpu3: 899995kHz, cpu4: 899997kHz, cpu5: 900000kHz, cpu6: 899997kHz, cpu7: 900002kHz, cpu8: 799996kHz, cpu9: 799998kHz, 
Sample #54, Timestamp: 1747351611, CPU_Temperature: 57°C, cpu0: 899997kHz, cpu1: 879911kHz, cpu10: 799994kHz, cpu11: 799994kHz, cpu12: 784219kHz, cpu13: 786201kHz, cpu14: 684241kHz, cpu15: 749010kHz, cpu2: 900000kHz, cpu3: 900002kHz, cpu4: 899995kHz, cpu5: 900000kHz, cpu6: 900002kHz, cpu7: 899997kHz, cpu8: 799998kHz, cpu9: 800002kHz, 
Sample #55, Timestamp: 1747351612, CPU_Temperature: 57°C, cpu0: 1300003kHz, cpu1: 1300000kHz, cpu10: 1099999kHz, cpu11: 1099995kHz, cpu12: 1200002kHz, cpu13: 1199995kHz, cpu14: 1199993kHz, cpu15: 1200002kHz, cpu2: 1499992kHz, cpu3: 1500003kHz, cpu4: 1584877kHz, cpu5: 1600000kHz, cpu6: 1599995kHz, cpu7: 1599995kHz, cpu8: 1400005kHz, cpu9: 1400006kHz, 
Sample #56, Timestamp: 1747351612, CPU_Temperature: 57°C, cpu0: 1800000kHz, cpu1: 1800009kHz, cpu10: 1500006kHz, cpu11: 1500005kHz, cpu12: 1500012kHz, cpu13: 1500004kHz, cpu14: 1499998kHz, cpu15: 1500002kHz, cpu2: 1799995kHz, cpu3: 1800000kHz, cpu4: 1800000kHz, cpu5: 1799990kHz, cpu6: 1800000kHz, cpu7: 1800000kHz, cpu8: 1500005kHz, cpu9: 1499994kHz, 
Sample #57, Timestamp: 1747351613, CPU_Temperature: 62°C, cpu0: 1900000kHz, cpu1: 1899995kHz, cpu10: 1499996kHz, cpu11: 1499997kHz, cpu12: 1499990kHz, cpu13: 1499995kHz, cpu14: 1499992kHz, cpu15: 1499998kHz, cpu2: 1830803kHz, cpu3: 1900000kHz, cpu4: 1849536kHz, cpu5: 1853938kHz, cpu6: 1900009kHz, cpu7: 1889024kHz, cpu8: 1500003kHz, cpu9: 1500009kHz, 
