1747353586 LOGGER STARTED
Sample #40, Timestamp: 1747353607, CPU_Temperature: 60°C, cpu0: 1894534kHz, cpu1: 1805056kHz, cpu10: 1499987kHz, cpu11: 1499992kHz, cpu12: 1499999kHz, cpu13: 1500003kHz, cpu14: 1500004kHz, cpu15: 1499992kHz, cpu2: 1828338kHz, cpu3: 1870528kHz, cpu4: 1829239kHz, cpu5: 1829239kHz, cpu6: 1900004kHz, cpu7: 1824706kHz, cpu8: 1499982kHz, cpu9: 1586856kHz, 
Sample #41, Timestamp: 1747353608, CPU_Temperature: 60°C, cpu0: 1881745kHz, cpu1: 1858972kHz, cpu10: 1500008kHz, cpu11: 1499996kHz, cpu12: 1499994kHz, cpu13: 1500001kHz, cpu14: 1500002kHz, cpu15: 1500002kHz, cpu2: 1889353kHz, cpu3: 1800004kHz, cpu4: 1843318kHz, cpu5: 1900004kHz, cpu6: 1815955kHz, cpu7: 1814945kHz, cpu8: 1499991kHz, cpu9: 1500005kHz, 
Sample #42, Timestamp: 1747353608, CPU_Temperature: 60°C, cpu0: 1831685kHz, cpu1: 1899995kHz, cpu10: 1499990kHz, cpu11: 1499990kHz, cpu12: 1499996kHz, cpu13: 1500004kHz, cpu14: 1499988kHz, cpu15: 1500005kHz, cpu2: 1899995kHz, cpu3: 1893428kHz, cpu4: 1806064kHz, cpu5: 1866292kHz, cpu6: 1857658kHz, cpu7: 1834154kHz, cpu8: 1499993kHz, cpu9: 1500001kHz, 
Sample #43, Timestamp: 1747353608, CPU_Temperature: 61°C, cpu0: 1849213kHz, cpu1: 1858220kHz, cpu10: 1499997kHz, cpu11: 1499994kHz, cpu12: 1499999kHz, cpu13: 1500002kHz, cpu14: 1500004kHz, cpu15: 1499990kHz, cpu2: 1858972kHz, cpu3: 1899132kHz, cpu4: 1882879kHz, cpu5: 1900004kHz, cpu6: 1882015kHz, cpu7: 1700004kHz, cpu8: 1399991kHz, cpu9: 1399994kHz, 
Sample #44, Timestamp: 1747353609, CPU_Temperature: 61°C, cpu0: 1200000kHz, cpu1: 1099997kHz, cpu10: 999990kHz, cpu11: 999998kHz, cpu12: 1000005kHz, cpu13: 899996kHz, cpu14: 899993kHz, cpu15: 899996kHz, cpu2: 899990kHz, cpu3: 900000kHz, cpu4: 900004kHz, cpu5: 899990kHz, cpu6: 900004kHz, cpu7: 900006kHz, cpu8: 800001kHz, cpu9: 800000kHz, 
Sample #45, Timestamp: 1747353609, CPU_Temperature: 57°C, cpu0: 899995kHz, cpu1: 899997kHz, cpu10: 799998kHz, cpu11: 800000kHz, cpu12: 800000kHz, cpu13: 800005kHz, cpu14: 800004kHz, cpu15: 800003kHz, cpu2: 900004kHz, cpu3: 900000kHz, cpu4: 900000kHz, cpu5: 900002kHz, cpu6: 900002kHz, cpu7: 900000kHz, cpu8: 799996kHz, cpu9: 799997kHz, 
Sample #46, Timestamp: 1747353610, CPU_Temperature: 57°C, cpu0: 899995kHz, cpu1: 899997kHz, cpu10: 800001kHz, cpu11: 800004kHz, cpu12: 800003kHz, cpu13: 800001kHz, cpu14: 799999kHz, cpu15: 799995kHz, cpu2: 900000kHz, cpu3: 899997kHz, cpu4: 899993kHz, cpu5: 900006kHz, cpu6: 899995kHz, cpu7: 900000kHz, cpu8: 799998kHz, cpu9: 799991kHz, 
Sample #47, Timestamp: 1747353610, CPU_Temperature: 55°C, cpu0: 899997kHz, cpu1: 899997kHz, cpu10: 800003kHz, cpu11: 799999kHz, cpu12: 799996kHz, cpu13: 800000kHz, cpu14: 800004kHz, cpu15: 800001kHz, cpu2: 1199993kHz, cpu3: 1300003kHz, cpu4: 1300000kHz, cpu5: 1299996kHz, cpu6: 1300000kHz, cpu7: 1356888kHz, cpu8: 1099992kHz, cpu9: 1162009kHz, 
Sample #48, Timestamp: 1747353611, CPU_Temperature: 55°C, cpu0: 1700000kHz, cpu1: 1699995kHz, cpu10: 1400004kHz, cpu11: 1399998kHz, cpu12: 1400003kHz, cpu13: 1399996kHz, cpu14: 1400005kHz, cpu15: 1399990kHz, cpu2: 1800000kHz, cpu3: 1799995kHz, cpu4: 1800004kHz, cpu5: 1799995kHz, cpu6: 1800004kHz, cpu7: 1799995kHz, cpu8: 1499993kHz, cpu9: 1499998kHz, 
Sample #49, Timestamp: 1747353611, CPU_Temperature: 55°C, cpu0: 1799986kHz, cpu1: 1800000kHz, cpu10: 1499989kHz, cpu11: 1499994kHz, cpu12: 1500009kHz, cpu13: 1499996kHz, cpu14: 1499990kHz, cpu15: 1500007kHz, cpu2: 1892454kHz, cpu3: 1839301kHz, cpu4: 1840415kHz, cpu5: 1853460kHz, cpu6: 1824416kHz, cpu7: 1833827kHz, cpu8: 1500012kHz, cpu9: 1500002kHz, 
Sample #50, Timestamp: 1747353611, CPU_Temperature: 55°C, cpu0: 1854929kHz, cpu1: 1844023kHz, cpu10: 1500005kHz, cpu11: 1500011kHz, cpu12: 1499994kHz, cpu13: 1499993kHz, cpu14: 1499998kHz, cpu15: 1500000kHz, cpu2: 1807162kHz, cpu3: 1831480kHz, cpu4: 1867283kHz, cpu5: 1838839kHz, cpu6: 1816651kHz, cpu7: 1889307kHz, cpu8: 1500009kHz, cpu9: 1499993kHz, 
Sample #51, Timestamp: 1747353612, CPU_Temperature: 61°C, cpu0: 1834440kHz, cpu1: 1864709kHz, cpu10: 1499994kHz, cpu11: 1500002kHz, cpu12: 1500003kHz, cpu13: 1499994kHz, cpu14: 1499999kHz, cpu15: 1500002kHz, cpu2: 1900000kHz, cpu3: 1832511kHz, cpu4: 1858349kHz, cpu5: 1859320kHz, cpu6: 1874194kHz, cpu7: 1855374kHz, cpu8: 1500000kHz, cpu9: 1500000kHz, 
