1747348943 LOGGER STARTED
Sample #58, Timestamp: 1747348992, CPU_Temperature: 63°C, cpu0: 3642662kHz, cpu1: 3642664kHz, cpu10: 3642658kHz, cpu11: 3642664kHz, cpu2: 3642672kHz, cpu3: 3642164kHz, cpu4: 3642588kHz, cpu5: 3642681kHz, cpu6: 3642671kHz, cpu7: 3642664kHz, cpu8: 3642669kHz, cpu9: 3642644kHz, 
Sample #59, Timestamp: 1747348992, CPU_Temperature: 63°C, cpu0: 3642664kHz, cpu1: 3642668kHz, cpu10: 3642567kHz, cpu11: 3642681kHz, cpu2: 3642662kHz, cpu3: 3642425kHz, cpu4: 3642536kHz, cpu5: 3642654kHz, cpu6: 3642657kHz, cpu7: 3642666kHz, cpu8: 3642662kHz, cpu9: 3642595kHz, 
Sample #60, Timestamp: 1747348993, CPU_Temperature: 63°C, cpu0: 3642678kHz, cpu1: 3642674kHz, cpu10: 3642665kHz, cpu11: 3642664kHz, cpu2: 3642663kHz, cpu3: 3642454kHz, cpu4: 3642629kHz, cpu5: 3641071kHz, cpu6: 3642666kHz, cpu7: 3642673kHz, cpu8: 3642666kHz, cpu9: 3642579kHz, 
Sample #61, Timestamp: 1747348994, CPU_Temperature: 63°C, cpu0: 3642665kHz, cpu1: 3642670kHz, cpu10: 3642614kHz, cpu11: 3641371kHz, cpu2: 3642664kHz, cpu3: 3642666kHz, cpu4: 3642296kHz, cpu5: 3642674kHz, cpu6: 3642662kHz, cpu7: 3642661kHz, cpu8: 3642669kHz, cpu9: 3642670kHz, 
Sample #62, Timestamp: 1747348995, CPU_Temperature: 63°C, cpu0: 3642668kHz, cpu1: 3642665kHz, cpu10: 3642472kHz, cpu11: 3642668kHz, cpu2: 3642661kHz, cpu3: 3642391kHz, cpu4: 3642670kHz, cpu5: 3642665kHz, cpu6: 3642667kHz, cpu7: 3642673kHz, cpu8: 3642671kHz, cpu9: 3642680kHz, 
Sample #63, Timestamp: 1747348995, CPU_Temperature: 64°C, cpu0: 3642664kHz, cpu1: 3642666kHz, cpu10: 3642648kHz, cpu11: 3642667kHz, cpu2: 3642678kHz, cpu3: 3642666kHz, cpu4: 3642635kHz, cpu5: 3642668kHz, cpu6: 3642660kHz, cpu7: 3642666kHz, cpu8: 3642667kHz, cpu9: 3642136kHz, 
Sample #64, Timestamp: 1747348996, CPU_Temperature: 64°C, cpu0: 3642667kHz, cpu1: 3642658kHz, cpu10: 3642633kHz, cpu11: 3642658kHz, cpu2: 3642662kHz, cpu3: 3642661kHz, cpu4: 3642617kHz, cpu5: 3642661kHz, cpu6: 3642663kHz, cpu7: 3642670kHz, cpu8: 3642671kHz, cpu9: 3642653kHz, 
Sample #65, Timestamp: 1747348996, CPU_Temperature: 64°C, cpu0: 3642673kHz, cpu1: 3642656kHz, cpu10: 3642667kHz, cpu11: 3642660kHz, cpu2: 3642669kHz, cpu3: 3642663kHz, cpu4: 3642408kHz, cpu5: 3642668kHz, cpu6: 3642661kHz, cpu7: 3642665kHz, cpu8: 3642660kHz, cpu9: 3642590kHz, 
Sample #66, Timestamp: 1747348997, CPU_Temperature: 64°C, cpu0: 3642672kHz, cpu1: 3642667kHz, cpu10: 3642621kHz, cpu11: 3642670kHz, cpu2: 3642664kHz, cpu3: 3642661kHz, cpu4: 3642639kHz, cpu5: 3642681kHz, cpu6: 3642661kHz, cpu7: 3642659kHz, cpu8: 3642672kHz, cpu9: 3642601kHz, 
Sample #67, Timestamp: 1747348998, CPU_Temperature: 64°C, cpu0: 3642654kHz, cpu1: 3642656kHz, cpu10: 3642633kHz, cpu11: 3642666kHz, cpu2: 3642668kHz, cpu3: 3642670kHz, cpu4: 3642663kHz, cpu5: 3642675kHz, cpu6: 3642670kHz, cpu7: 3642676kHz, cpu8: 3642657kHz, cpu9: 3642564kHz, 
