Sample #39, Timestamp: 1747088923, CPU_Temperature: 66°C, cpu0: 1900000kHz, cpu1: 1855651kHz, cpu10: 1499996kHz, cpu11: 1499979kHz, cpu12: 1499993kHz, cpu13: 1499993kHz, cpu14: 1500008kHz, cpu15: 1499997kHz, cpu2: 1899995kHz, cpu3: 1799995kHz, cpu4: 1899995kHz, cpu5: 1849004kHz, cpu6: 1900009kHz, cpu7: 1868598kHz, cpu8: 1500001kHz, cpu9: 1500002kHz, 
Sample #40, Timestamp: 1747088923, CPU_Temperature: 64°C, cpu0: 1799990kHz, cpu1: 1824394kHz, cpu10: 1499998kHz, cpu11: 1499999kHz, cpu12: 1500008kHz, cpu13: 1500009kHz, cpu14: 1500001kHz, cpu15: 1500000kHz, cpu2: 1832455kHz, cpu3: 1824844kHz, cpu4: 1816489kHz, cpu5: 1891163kHz, cpu6: 1808063kHz, cpu7: 1900009kHz, cpu8: 1500008kHz, cpu9: 1500002kHz, 
Sample #41, Timestamp: 1747088924, CPU_Temperature: 64°C, cpu0: 1880262kHz, cpu1: 1818840kHz, cpu10: 1499991kHz, cpu11: 1500005kHz, cpu12: 1500008kHz, cpu13: 1499996kHz, cpu14: 1499998kHz, cpu15: 1499998kHz, cpu2: 1799995kHz, cpu3: 1865845kHz, cpu4: 1816850kHz, cpu5: 1871857kHz, cpu6: 1877843kHz, cpu7: 1900004kHz, cpu8: 1499992kHz, cpu9: 1499997kHz, 
Sample #42, Timestamp: 1747088924, CPU_Temperature: 64°C, cpu0: 1800004kHz, cpu1: 1817876kHz, cpu10: 1500005kHz, cpu11: 1500004kHz, cpu12: 1499991kHz, cpu13: 1499996kHz, cpu14: 1500001kHz, cpu15: 1499996kHz, cpu2: 1800004kHz, cpu3: 1799995kHz, cpu4: 1821530kHz, cpu5: 1899995kHz, cpu6: 1900000kHz, cpu7: 1883191kHz, cpu8: 1500012kHz, cpu9: 1500006kHz, 
Sample #43, Timestamp: 1747088925, CPU_Temperature: 64°C, cpu0: 1865893kHz, cpu1: 1874271kHz, cpu10: 1499996kHz, cpu11: 1500003kHz, cpu12: 1499996kHz, cpu13: 1499994kHz, cpu14: 1499999kHz, cpu15: 1500011kHz, cpu2: 1830543kHz, cpu3: 1800000kHz, cpu4: 1865833kHz, cpu5: 1808805kHz, cpu6: 1800000kHz, cpu7: 1800004kHz, cpu8: 1500001kHz, cpu9: 1500004kHz, 
Sample #44, Timestamp: 1747088925, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1852137kHz, cpu10: 1500003kHz, cpu11: 1500013kHz, cpu12: 1500009kHz, cpu13: 1500003kHz, cpu14: 1500008kHz, cpu15: 1500014kHz, cpu2: 1846386kHz, cpu3: 1871069kHz, cpu4: 1853082kHz, cpu5: 1870992kHz, cpu6: 1828297kHz, cpu7: 1819931kHz, cpu8: 1500011kHz, cpu9: 1499990kHz, 
Sample #45, Timestamp: 1747088926, CPU_Temperature: 64°C, cpu0: 1900000kHz, cpu1: 1899995kHz, cpu10: 1499989kHz, cpu11: 1499995kHz, cpu12: 1500010kHz, cpu13: 1500006kHz, cpu14: 1500006kHz, cpu15: 1500001kHz, cpu2: 1820585kHz, cpu3: 1854154kHz, cpu4: 1900009kHz, cpu5: 1900000kHz, cpu6: 1899990kHz, cpu7: 1853135kHz, cpu8: 1500000kHz, cpu9: 1500005kHz, 
Sample #46, Timestamp: 1747088926, CPU_Temperature: 64°C, cpu0: 1804716kHz, cpu1: 1805593kHz, cpu10: 1499988kHz, cpu11: 1500011kHz, cpu12: 1499993kHz, cpu13: 1499998kHz, cpu14: 1500006kHz, cpu15: 1500002kHz, cpu2: 1800004kHz, cpu3: 1849733kHz, cpu4: 1857638kHz, cpu5: 1883119kHz, cpu6: 1799995kHz, cpu7: 1900000kHz, cpu8: 1499995kHz, cpu9: 1499988kHz, 
Sample #47, Timestamp: 1747088927, CPU_Temperature: 64°C, cpu0: 1900004kHz, cpu1: 1900000kHz, cpu10: 1499998kHz, cpu11: 1500004kHz, cpu12: 1499999kHz, cpu13: 1499997kHz, cpu14: 1499998kHz, cpu15: 1499997kHz, cpu2: 1800004kHz, cpu3: 1881422kHz, cpu4: 1882672kHz, cpu5: 1874830kHz, cpu6: 1807210kHz, cpu7: 1800009kHz, cpu8: 1500004kHz, cpu9: 1500008kHz, 
Sample #48, Timestamp: 1747088927, CPU_Temperature: 64°C, cpu0: 1857570kHz, cpu1: 1900000kHz, cpu10: 1500003kHz, cpu11: 1499992kHz, cpu12: 1500003kHz, cpu13: 1500004kHz, cpu14: 1499995kHz, cpu15: 1500003kHz, cpu2: 1857864kHz, cpu3: 1841407kHz, cpu4: 1800004kHz, cpu5: 1816948kHz, cpu6: 1800000kHz, cpu7: 1800000kHz, cpu8: 1500004kHz, cpu9: 1500001kHz, 
