Current logical CPUs: 16
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/15/25 	_x86_64_	(16 CPU)

22:11:11      UID      TGID       TID   cswch/s nvcswch/s  Command
22:11:14        0      5498         -     14.00      3.00  kworker/0:22-kacpi_notify
22:11:14        0         -      5498     14.00      3.00  |__kworker/0:22-kacpi_notify
22:11:14        0      5510         -      1.00      0.00  kworker/9:2-events
22:11:14        0         -      5510      1.00      0.00  |__kworker/9:2-events
22:11:14        0      5600         -      2.00      0.00  kworker/0:23-kacpi_notify
22:11:14        0         -      5600      2.00      0.00  |__kworker/0:23-kacpi_notify
22:11:14        0      9751         -      1.00      0.00  kworker/4:1-mm_percpu_wq
22:11:14        0         -      9751      1.00      0.00  |__kworker/4:1-mm_percpu_wq
22:11:14        0      9867         -      1.00      0.00  kworker/3:5-mm_percpu_wq
22:11:14        0         -      9867      1.00      0.00  |__kworker/3:5-mm_percpu_wq
22:11:14        0      9922         -      2.00      0.00  kworker/0:2-kacpi_notify
22:11:14        0         -      9922      2.00      0.00  |__kworker/0:2-kacpi_notify
22:11:14        0      9923         -      2.00      0.00  kworker/0:3-kacpi_notify
22:11:14        0         -      9923      2.00      0.00  |__kworker/0:3-kacpi_notify
22:11:14        0      9988         -      1.00      0.00  kworker/0:0H
22:11:14        0         -      9988      1.00      0.00  |__kworker/0:0H
22:11:14        0     10365         -      7.00      0.00  kworker/14:6-mm_percpu_wq
22:11:14        0         -     10365      7.00      0.00  |__kworker/14:6-mm_percpu_wq
22:11:14        0     10398         -      0.00      1.00  stress-ng-cpu
22:11:14        0         -     10398      0.00      1.00  |__stress-ng-cpu
22:11:14        0     10399         -      0.00      5.00  stress-ng-cpu
22:11:14        0         -     10399      0.00      5.00  |__stress-ng-cpu
22:11:14        0     10400         -      0.00     15.00  stress-ng-cpu
22:11:14        0         -     10400      0.00     15.00  |__stress-ng-cpu
22:11:14        0     10401         -      0.00      2.00  stress-ng-cpu
22:11:14        0         -     10401      0.00      2.00  |__stress-ng-cpu
22:11:14        0     10402         -      0.00      1.00  stress-ng-cpu
22:11:14        0         -     10402      0.00      1.00  |__stress-ng-cpu
22:11:14        0     10403         -      0.00      5.00  stress-ng-cpu
22:11:14        0         -     10403      0.00      5.00  |__stress-ng-cpu
22:11:14        0     10404         -      0.00     74.00  stress-ng-cpu
22:11:14        0         -     10404      0.00     74.00  |__stress-ng-cpu
22:11:14        0     10405         -      0.00      3.00  stress-ng-cpu
22:11:14        0         -     10405      0.00      3.00  |__stress-ng-cpu
22:11:14        0     10406         -      0.00     36.00  stress-ng-cpu
22:11:14        0         -     10406      0.00     36.00  |__stress-ng-cpu
22:11:14        0     10407         -      0.00     18.00  stress-ng-cpu
22:11:14        0         -     10407      0.00     18.00  |__stress-ng-cpu
22:11:14        0     10408         -      0.00      4.00  stress-ng-cpu
22:11:14        0         -     10408      0.00      4.00  |__stress-ng-cpu
22:11:14        0     10409         -      0.00      1.00  stress-ng-cpu
22:11:14        0         -     10409      0.00      1.00  |__stress-ng-cpu
22:11:14        0     10410         -      0.00     19.00  stress-ng-cpu
22:11:14        0         -     10410      0.00     19.00  |__stress-ng-cpu
22:11:14        0     10411         -      0.00      2.00  stress-ng-cpu
22:11:14        0         -     10411      0.00      2.00  |__stress-ng-cpu
22:11:14        0     10412         -      0.00      1.00  stress-ng-cpu
22:11:14        0         -     10412      0.00      1.00  |__stress-ng-cpu
22:11:14        0     10413         -      0.00      1.00  stress-ng-cpu
22:11:14        0         -     10413      0.00      1.00  |__stress-ng-cpu
22:11:14        0     10416         -      1.00     14.00  pidstat
22:11:14        0         -     10416      1.00     14.00  |__pidstat

22:11:14      UID      TGID       TID   cswch/s nvcswch/s  Command
22:11:15        0        17         -      3.96      0.00  ksoftirqd/0
22:11:15        0         -        17      3.96      0.00  |__ksoftirqd/0
22:11:15        0        18         -     19.80      0.00  rcu_preempt
22:11:15        0         -        18     19.80      0.00  |__rcu_preempt
22:11:15        0        94         -      2.97      0.00  kworker/1:0-mm_percpu_wq
22:11:15        0         -        94      2.97      0.00  |__kworker/1:0-mm_percpu_wq
22:11:15        0       136         -      1.98      0.00  kcompactd0
22:11:15        0         -       136      1.98      0.00  |__kcompactd0
22:11:15        0       138         -      2.97      0.00  khugepaged
22:11:15        0         -       138      2.97      0.00  |__khugepaged
22:11:15        0       527         -     10.89      0.00  usb-storage
22:11:15        0         -       527     10.89      0.00  |__usb-storage
22:11:15        0       545         -      2.97      0.00  jbd2/sda3-8
22:11:15        0         -       545      2.97      0.00  |__jbd2/sda3-8
22:11:15        0      1015         -      5.94      0.00  kworker/0:16-mm_percpu_wq
22:11:15        0         -      1015      5.94      0.00  |__kworker/0:16-mm_percpu_wq
22:11:15        0      1115         -      0.99      0.00  kworker/13:0-mm_percpu_wq
22:11:15        0         -      1115      0.99      0.00  |__kworker/13:0-mm_percpu_wq
22:11:15        0      1503         -      4.95      0.00  kworker/u64:0-events_unbound
22:11:15        0         -      1503      4.95      0.00  |__kworker/u64:0-events_unbound
22:11:15        0      2802         -      0.99      0.00  kworker/2:5-mm_percpu_wq
22:11:15        0         -      2802      0.99      0.00  |__kworker/2:5-mm_percpu_wq
22:11:15        0      5411         -      0.99      0.99  kworker/11:9-mm_percpu_wq
22:11:15        0         -      5411      0.99      0.99  |__kworker/11:9-mm_percpu_wq
22:11:15        0      5510         -      0.99      0.00  kworker/9:2-mm_percpu_wq
22:11:15        0         -      5510      0.99      0.00  |__kworker/9:2-mm_percpu_wq
22:11:15        0      5959         -      0.99      0.00  kworker/6:1-mm_percpu_wq
22:11:15        0         -      5959      0.99      0.00  |__kworker/6:1-mm_percpu_wq
22:11:15        0      7170         -      1.98      0.00  kworker/12:4-mm_percpu_wq
22:11:15        0         -      7170      1.98      0.00  |__kworker/12:4-mm_percpu_wq
22:11:15        0      9751         -      1.98      0.00  kworker/4:1-mm_percpu_wq
22:11:15        0         -      9751      1.98      0.00  |__kworker/4:1-mm_percpu_wq
22:11:15        0      9867         -      0.99      0.00  kworker/3:5-mm_percpu_wq
22:11:15        0         -      9867      0.99      0.00  |__kworker/3:5-mm_percpu_wq
22:11:15        0      9912         -      1.98      0.00  kworker/7:11-mm_percpu_wq
22:11:15        0         -      9912      1.98      0.00  |__kworker/7:11-mm_percpu_wq
22:11:15        0      9943         -      1.98      0.00  kworker/8:11-mm_percpu_wq
22:11:15        0         -      9943      1.98      0.00  |__kworker/8:11-mm_percpu_wq
22:11:15        0      9972         -      0.99      0.00  kworker/10:1-mm_percpu_wq
22:11:15        0         -      9972      0.99      0.00  |__kworker/10:1-mm_percpu_wq
