Time (s),CPU Temp (°C),Avg CPU0–7 (GHz),Avg CPU8–15 (GHz)
505,64,1.9125005625,1.5062481875
506,66,1.024998875,0.8895915
507,60,0.955441125,0.876876
508,59,1.629951,1.3472040625
509,66,1.943773,1.5999998125000001
510,65,1.9488430625,1.59999590625
511,61,2.403474854166667,1.7435302916666666
512,57.42857142857143,1.954860357142857,1.4552565
513,56.142857142857146,2.0698344464285716,1.7275283750000001
514,57,2.023340910714286,1.477879875
515,56,1.9816055,1.6042142142857143
516,55.142857142857146,2.0099307321428572,1.3410171607142858
517,55,2.229565609375,1.654609734375
518,55,2.0985281964285716,1.6664690178571429
519,54.42857142857143,2.1443985714285714,1.4681328035714285
520,53.57142857142857,2.167307767857143,1.4604296607142857
521,53,2.2056813035714287,1.49654125
522,53,2.1066261875,1.4409247812500001
523,53,2.0902966785714288,1.5473614464285714
524,53,2.204542875,1.7166222142857144
525,53,2.1481202678571427,1.532942892857143
526,52.142857142857146,2.0742909107142857,1.4171529464285713
527,52,2.056871517857143,1.3727330178571429
528,52,1.8696620714285714,1.403958875
529,51.57142857142857,2.0977849642857143,1.463409767857143
530,51,2.3532726607142855,1.4918184285714287
531,51,2.191657671875,1.58157065625
532,51,2.128409017857143,1.6555175357142857
533,51,2.1859432678571427,1.5436173392857142
534,51,2.082466767857143,1.5688013035714286
535,51,1.9682627857142858,1.3931104821428573
536,51,2.0456098125,1.5124798906249999
537,50.142857142857146,2.1562260714285717,1.8858839107142857
538,50.714285714285715,2.3075697857142856,1.3905188392857142
539,50.42857142857143,1.7701113750000002,1.5659326071428572
540,50.42857142857143,2.191952357142857,1.5482460535714286
541,50.625,2.3880075625,1.55603653125
542,50,1.9176501964285715,1.4802485357142856
543,50,2.208868285714286,1.4560292321428572
544,50,2.2920849107142858,1.544278017857143
545,50,2.20624478125,1.563905890625
546,49,2.079062517857143,1.4602246607142857
547,48.142857142857146,2.190776214285714,1.6876454464285715
548,48.714285714285715,2.053026160714286,1.5271996607142857
549,49,2.131062671875,1.854384375
550,49,2.1916268571428574,1.5290799107142856
551,49,2.0102786964285713,1.5067625714285715
552,49,2.1742039642857143,1.4148530892857143
553,48.714285714285715,2.13863825,1.5412209464285713
554,48,2.237234339285714,1.6482498392857143
555,48,2.006648964285714,1.4084550357142858
556,49,2.215221765625,1.4654788437500001
557,49,2.3508676964285713,1.4515132321428572
558,48.142857142857146,1.99519775,1.413917
559,48,2.1144249464285716,1.3733564107142857
560,48.57142857142857,2.0493703214285715,1.4094267142857142
561,48.57142857142857,2.1719601785714286,1.6075774285714286
562,48,2.023814625,1.5249488392857142
563,48,2.1379107031249998,1.5950392656249999
564,48.142857142857146,2.0976244642857145,1.6970015357142858
565,49,2.2116563035714285,1.5362906607142857
566,48,2.0759996249999997,1.628166875
567,48,2.2093855,1.53952121875
568,48,2.0223006428571426,1.4398957142857143
569,48.714285714285715,2.0092597142857143,1.5526228035714285
570,47.857142857142854,1.9519517321428572,1.451960125
571,47,2.2066430535714288,1.8742244107142856
572,85,3.800001125,2.799987375
574,89,3.799997375,2.799994875
575,89,3.712501875,2.7993405
576,90,3.6732388125,2.7805911875
577,91,2.78102775,2.488119375
578,92,1.7406705,1.437549625
579,67,1.72564725,1.437222125
580,66,1.7508075,1.435715875
581,66,1.781283375,1.474690375
582,66,1.806235625,1.499421
583,64,1.8178995,1.499999375
584,66,1.828877125,1.499997375
585,66,1.8303959375,1.4999980625
586,66,1.8156254375,1.499999625
587,65,1.8343462499999998,1.4999993125
588,64,1.812858875,1.499998625
589,66,1.827042375,1.5
590,66,1.858783125,1.499999125
591,66,1.8745395,1.4999983124999998
592,65.33333333333333,1.8649874166666667,1.4999994583333334
593,64,1.852343875,1.499998875
594,66,1.8562645,1.500002
595,66,1.8645764375,1.5000000625
596,65.5,1.8760450625,1.5000020625000001
597,65.5,1.8794279999999999,1.4999959375
598,66,1.8685445,1.499997375
599,64,1.89771475,1.500000625
600,66,1.8871,1.39999775
